input_origin,input_extrapolation,output,len,bins
"Say hello world five times, but don't say world every even time","Say hello world 33 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,33,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 26 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,26,25~34
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 32 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog woof dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,32,25~34
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 33 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,33,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 30 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,30,25~34
"Say hello world five times, but don't say world every even time","Say hello world 29 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,29,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 30 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data,30,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 32 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data,32,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 32 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,32,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 29 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,29,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 32,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,32,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 31 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,31,25~34
Repeat 5 times hello world,Repeat 29 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,29,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 25 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python data,25,25~34
"Say hello world five times, but don't say world every even time","Say hello world 31 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,31,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 28 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,28,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 31 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,31,25~34
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 33 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,33,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 26,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,26,25~34
Repeat 5 times hello world,Repeat 28 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,28,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 30 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,30,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 25,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,25,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 29 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,29,25~34
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 28 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,28,25~34
"Say hello world five times, but don't say world every even time","Say hello world 27 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,27,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 30 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,30,25~34
Repeat 5 times hello world,Repeat 33 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,33,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 33 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,33,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 32 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,32,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 29,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,29,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 27 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,27,25~34
Repeat 5 times hello world,Repeat 13 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,13,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 15 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,15,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 13 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,13,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 13 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,13,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 16 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,16,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 16 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,16,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 12 times, but halfway through also say woof",dog dog dog dog dog dog woof dog dog dog dog dog dog,12,9~17
Repeat 5 times hello world,Repeat 15 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,15,9~17
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 14 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,14,9~17
"Say hello world five times, but don't say world every even time","Say hello world 16 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello,16,9~17
Repeat 5 times hello world,Repeat 12 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,12,9~17
Repeat 5 times hello world,Repeat 14 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,14,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 11 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,11,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 11 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog,11,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 10 times, but halfway through also say woof",dog dog dog dog dog woof dog dog dog dog dog,10,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 16 times, but halfway through also say woof",dog dog dog dog dog dog dog dog woof dog dog dog dog dog dog dog dog,16,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 12 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,12,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 11 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,11,9~17
"Say python twice and data once, and then repeat all of this three times.","Say python 16 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python data,16,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 11 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,11,9~17
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 14 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,14,9~17
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 12 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,12,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 13,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,13,9~17
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 15 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,15,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 9 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,9,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 12 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,12,9~17
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 16 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,16,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 13 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,13,9~17
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 15 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,15,9~17
"Say hello world five times, but don't say world every even time","Say hello world 13 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,13,9~17
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 9 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,9,9~17
Repeat 5 times hello world,Repeat 11 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,11,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 16,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,16,9~17
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 11 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,11,9~17
"Say python twice and data once, and then repeat all of this three times.","Say python 13 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python data python python python python python python python python python python python python python data python python python python python python python python python python python python python data,13,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 14 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,14,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 15 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,15,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 13 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog,13,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 15,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,15,9~17
"Say python twice and data once, and then repeat all of this three times.","Say python 10 and data once, and then repeat all of this three times.",python python python python python python python python python python data python python python python python python python python python python data python python python python python python python python python python data,10,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 14 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,14,9~17
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 9 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog,9,9~17
Repeat 5 times hello world,Repeat 10 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,10,9~17
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 10 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,10,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 9,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,9,9~17
Repeat 5 times hello world,Repeat 9 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world,9,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 16 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,16,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 10 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,10,9~17
"Say python twice and data once, and then repeat all of this three times.","Say python 11 and data once, and then repeat all of this three times.",python python python python python python python python python python python data python python python python python python python python python python python data python python python python python python python python python python python data,11,9~17
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 13 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,13,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 10,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,10,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 10 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,10,9~17
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 13 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,13,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 14 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,14,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 14 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,14,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 13 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,13,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 10 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,10,9~17
"Say python twice and data once, and then repeat all of this three times.","Say python 15 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python data,15,9~17
